ID_Transacao,Data,Investidor,Ativo,Valor_Aporte,Rendimento_Mensal_Porcentagem,Analise_rendimento,Analise
1005,,Anonimo,Bitcoin,1648.7945645762293,-0.2554641652801104,-4.212079271578495,Prejuizo
1009,2023-01-10,Anonimo,Bitcoin,2813.8400653789467,-1.7863725348088866,-50.265666101377924,Prejuizo
1012,2023-01-13,Anonimo,Bitcoin,2362.943407349051,-1.5325280941049035,-36.21277156542388,Prejuizo
1013,2023-01-14,Andrei S.R,Bitcoin,0.0,12.935308492528502,0.0,Zero
1031,2023-02-01,Andrei S.R.,Bitcoin,4778.417276763406,-1.2591250288495326,-60.166247914598294,Prejuizo
1040,2023-02-10,Anonimo,Bitcoin,3107.6998699931155,-1.9127456945159536,-59.4423954617712,Prejuizo
1042,2023-02-12,Andrei S.R.,Bitcoin,1826.5275764176392,5.651788651031717,103.23147827193681,Lucro
1053,2023-02-23,Andrei S.R,Bitcoin,0.0,6.912774812156886,0.0,Zero
1059,2023-03-01,Andrei S.R.,Bitcoin,3463.317690683539,14.300538213330253,495.27306980522627,Lucro
1060,2023-03-02,Anonimo,Bitcoin,1281.238643232065,-2.514055530289105,-32.211050966376824,Prejuizo
1064,2023-03-06,Anonimo,Bitcoin,3218.788733591297,400.0,12875.154934365188,Lucro
1067,2023-03-09,Andrei S.R.,Bitcoin,3505.2993468380364,11.83657553516544,414.90740492214496,Lucro
1069,2023-03-11,Anonimo,Bitcoin,1032.3203680923136,10.905346237197804,112.57811041758166,Lucro
1079,2023-03-21,Andrei S.R,Bitcoin,0.0,11.33198878943154,0.0,Zero
1086,2023-03-28,Andrei S.R.,Bitcoin,3373.103176553111,-0.3557460970636539,-11.999682900517824,Prejuizo
1120,2023-05-01,Anonimo,Bitcoin,3186.54792056457,9.400730730921488,299.5587896240532,Lucro
1124,2023-05-05,Anonimo,Bitcoin,2880.2856407004056,0.0359811781390551,1.0363607072940375,Lucro
1137,2023-05-18,Anonimo,Bitcoin,1516.9077256914866,12.442478178883029,188.74091276295405,Lucro
1139,2023-05-20,Andrei S.R.,Bitcoin,153.70352534906715,6.302663671784179,9.687416254427243,Lucro
1145,2023-05-26,Andrei S.R,Bitcoin,3172.7343076659654,7.134300927657119,226.35241314390862,Lucro
1147,2023-05-28,Andrei S.R.,Bitcoin,19.315080373585488,9.728884712494455,1.8791419016717754,Lucro
1153,2023-06-03,Andrei S.R.,Bitcoin,2348.3805457415056,11.777961728918685,276.59136192680626,Lucro
1160,2023-06-10,Anonimo,Bitcoin,537.9774946590178,-3.904767223559373,-21.006768881571205,Prejuizo
1167,2023-06-17,Andrei S.R.,Bitcoin,4845.189473980921,13.397112328255211,649.1154763460219,Lucro
1169,2023-06-19,Anonimo,Bitcoin,869.3957534637657,1.9390640379245545,16.8581404026591,Lucro
1181,2023-07-01,Anonimo,Bitcoin,714.2636653755762,7.645285758390607,54.607498286317664,Lucro
1186,2023-07-06,Andrei S.R.,Bitcoin,2709.856436860317,-2.026745444937741,-54.921891898418636,Prejuizo
1204,2023-07-24,Andrei S.R.,Bitcoin,0.0,5.487805386551601,0.0,Zero
1206,2023-07-26,Andrei S.R.,Bitcoin,2772.5529008129897,3.01526121750652,83.5997123530661,Lucro
