ID_Transacao,Data,Investidor,Ativo,Valor_Aporte,Rendimento_Mensal_Porcentagem,Analise_rendimento,Analise
1001,,Anonimo,Acoes Petr4,1792.603548243223,6.415566093378239,115.00566542978744,Lucro
1002,,Andrei S.R.,Acoes Petr4,2971.5328071510385,2.121934517956925,63.053980347352265,Lucro
1006,2023-01-07,Andrei S.R,Acoes Petr4,4368.819223261087,-2.964350547591925,-129.50711656804134,Prejuizo
1008,2023-01-09,Anonimo,Acoes Petr4,1295.7884210975717,-0.0808454323098377,-1.047585750857152,Prejuizo
1014,2023-01-15,Anonimo,Acoes Petr4,0.0,-3.395325086767156,-0.0,Zero
1018,2023-01-19,Andrei S.R.,Acoes Petr4,637.9638867181836,-2.759221956638953,-17.60283963775538,Prejuizo
1020,2023-01-21,Anonimo,Acoes Petr4,4198.473153382331,320.0,13435.11409082346,Lucro
1022,2023-01-23,Anonimo,Acoes Petr4,2101.2923070318857,11.3414414189856,238.31683604367234,Lucro
1024,2023-01-25,Anonimo,Acoes Petr4,1183.425913212226,-1.5822482521986836,-18.724735827866755,Prejuizo
1026,2023-01-27,Anonimo,Acoes Petr4,273.50963386654576,13.587519782551716,37.16317560880167,Lucro
1028,2023-01-29,Anonimo,Acoes Petr4,1099.0419651217926,6.432253789397997,70.69316844862072,Lucro
1030,2023-01-31,Andrei S.R.,Acoes Petr4,1097.4400816559046,10.389858663838735,114.0224734043649,Lucro
1032,2023-02-02,Andrei S.R,Acoes Petr4,1979.7541628930992,1.473584728084873,29.17335499801723,Lucro
1033,2023-02-03,Andrei S.R.,Acoes Petr4,413.43360656614936,3.508728772328336,14.506263908061214,Lucro
1041,2023-02-11,Andrei S.R,Acoes Petr4,2257.052421784956,4.622802037096349,104.33906533260743,Lucro
1045,2023-02-15,Andrei S.R.,Acoes Petr4,920.2336874079368,-2.311706461220515,-21.273101610137072,Prejuizo
1050,2023-02-20,Andrei S.R.,Acoes Petr4,0.0,0.092813095275277,0.0,Zero
1061,2023-03-03,Anonimo,Acoes Petr4,1721.5115350042745,9.617349504072886,165.56378107429111,Lucro
1063,2023-03-05,Anonimo,Acoes Petr4,205.6900638789939,-1.375338676686797,-2.828935002629582,Prejuizo
1071,2023-03-13,Andrei S.R.,Acoes Petr4,4307.054849698954,-1.72688114268591,-74.3777180045902,Prejuizo
1076,2023-03-18,Anonimo,Acoes Petr4,2130.570602357257,2.1766096824700494,46.37420602276851,Lucro
1081,2023-03-23,Andrei S.R.,Acoes Petr4,2535.6688572676194,2.538888588498152,64.37780725926908,Lucro
1084,2023-03-26,Anonimo,Acoes Petr4,787.2595956602186,9.952187603525022,78.3495518868575,Lucro
1085,2023-03-27,Anonimo,Acoes Petr4,1247.3644346231952,5.054407801849584,63.046885301091734,Lucro
1089,2023-03-31,Anonimo,Acoes Petr4,2769.901149670034,5.871057222279772,162.62248149771298,Lucro
1093,2023-04-04,Anonimo,Acoes Petr4,1508.5067801033476,13.796642472269504,208.1232871208036,Lucro
1095,2023-04-06,Andrei S.R,Acoes Petr4,0.0,1.6981122931417223,0.0,Zero
1096,2023-04-07,Andrei S.R,Acoes Petr4,2444.180415596864,-2.214558546732255,-54.1278062911563,Prejuizo
1098,2023-04-09,Anonimo,Acoes Petr4,2007.6701849636916,7.40145511857027,148.59680766900436,Lucro
1099,2023-04-10,Anonimo,Acoes Petr4,2007.7678672704833,5.669221839526431,113.82481441829229,Lucro
1107,2023-04-18,Andrei S.R.,Acoes Petr4,2261.8667192477583,6.39779369742633,144.70956640821677,Lucro
